#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
426,José Suarez,ATH,1,1,4.06,26,0,26,113,24,13,12,3,10,1,25
427,Trenton Denholm,CLE,1,1,4.51,7,1,13,56,14,7,6,2,3,0,9
428,Ryan Zeferjahn,LAA,3,3,4.43,41,0,41,178,33,22,20,4,23,6,47
429,Josh Sborz,TEX,1,2,4.29,22,0,22,96,21,11,11,2,9,0,22
430,Casey Legumina,TBR,2,3,4.4,35,0,35,153,36,19,17,4,13,2,30
431,John King,MIA,2,2,3.97,36,0,36,159,40,17,16,4,12,2,26
432,Thomas Harrington,PIT,1,1,4.51,11,1,16,67,16,8,8,2,5,1,12
433,Paxton Schultz,WSN,2,2,4.33,31,0,31,136,31,16,15,4,12,1,29
434,Nestor German,BAL,0,0,4.75,1,1,5,22,5,3,3,1,2,0,4
435,Matt Gage,SFG,2,2,4.17,38,0,38,166,39,19,18,4,14,1,32
436,Yimi García,TOR,1,2,4.08,29,0,29,121,24,14,13,4,11,2,30
437,Chase Silseth,LAA,2,2,4.36,39,0,39,171,36,20,19,5,19,2,41
438,Sam Moll,CIN,2,2,4.62,36,0,36,157,32,20,19,4,17,3,37
439,Bryse Wilson,PHI,0,0,4.91,1,1,6,27,7,4,3,1,2,0,4
440,Wilber Dotel,PIT,2,3,4.61,28,2,36,156,37,20,18,5,13,2,28
441,José Urquidy,PIT,1,2,4.45,17,1,21,90,22,11,10,3,6,1,15
442,Brant Hurter,DET,2,2,3.97,27,0,27,115,26,13,12,3,9,2,24
443,Brusdar Graterol,LAD,1,0,3.5,10,0,10,39,9,4,4,1,2,0,8
444,Welinton Herrera,COL,2,3,4.4,32,0,32,141,32,17,16,4,13,3,32
445,Yorman Gómez,CLE,1,1,4.42,15,1,21,93,21,11,10,3,8,1,17
446,Gregory Santos,SFG,1,1,3.82,24,0,24,105,24,11,10,1,11,2,20
447,DJ Herz,WSN,1,1,4.5,8,1,11,48,10,6,5,1,6,1,11
448,Isaac Mattson,PIT,1,1,3.79,27,0,27,118,24,12,11,3,13,1,25
449,Ryan Webb,CLE,0,0,4.54,1,1,6,25,6,3,3,1,3,0,5
450,Tommy Nance,TOR,1,1,3.6,13,0,13,55,12,6,5,1,4,1,14
451,Tanner McDougal,CHW,0,0,4.89,1,1,4,19,4,2,2,1,2,0,4
452,Ty Madden,DET,0,1,4.68,10,1,15,64,15,8,8,2,6,1,13
453,Mitch Spence,KCR,1,1,4.71,19,1,25,107,26,14,13,3,8,1,18
454,Ricky Tiedemann,TOR,0,0,4.6,1,1,4,19,4,2,2,0,2,1,4
455,Pete Hansen,STL,0,0,4.69,1,1,6,24,6,3,3,1,2,0,4
456,McCade Brown,COL,0,0,5.19,1,1,4,19,4,3,2,1,2,0,4
457,Lazaro Estrada,TOR,1,1,4.81,11,1,16,67,16,9,8,2,5,1,13
458,Vince Velasquez,CHC,0,0,4.53,1,1,5,22,5,3,2,1,2,0,5
459,Joe Mantiply,TOR,1,1,4.05,14,0,14,58,14,7,6,1,3,0,12
460,Travis Adams,MIN,2,2,4.67,28,1,34,149,36,19,18,5,12,1,28
461,Matt Waldron,SDP,1,1,5.07,8,1,12,53,13,7,7,2,4,1,10
462,Bennett Sousa,HOU,1,1,3.9,19,0,19,82,17,9,8,2,8,0,22
463,Germán Márquez,SDP,2,3,5.48,13,5,35,155,38,23,21,6,13,1,27
464,Julian Fernández,WSN,1,1,4.42,21,0,21,89,20,11,10,2,8,1,20
465,Gabriel Hughes,COL,1,1,4.98,15,1,19,83,21,11,10,3,7,1,13
466,Keegan Akin,BAL,2,2,4.22,36,0,36,154,34,19,17,6,12,0,36
467,Sammy Peralta,COL,1,2,5.77,19,0,19,89,25,14,12,2,7,1,16
468,Anthony Banda,MIN,1,2,4.37,36,0,36,159,35,19,18,4,16,4,34
469,Trevor Williams,WSN,1,1,4.93,15,1,20,87,22,12,11,3,6,1,15
470,Jordan Romano,COL,1,1,4.45,12,0,12,50,11,6,6,2,4,1,13
471,Yerry De los Santos,NYY,1,1,4.22,26,0,26,113,25,13,12,3,10,1,21
472,Greg Weissert,BOS,2,3,4.42,40,0,40,174,39,22,20,6,15,2,37
473,Bailey Falter,KCR,1,1,4.77,14,1,18,79,19,11,10,3,6,0,13
474,Craig Yoho,MIL,2,1,4.05,23,0,23,98,19,11,10,3,10,2,25
475,Félix Bautista,BAL,0,0,3.38,5,0,5,21,4,2,2,1,2,0,7
476,Elvis Alvarado,ATH,2,2,4.19,33,0,33,142,29,17,15,4,16,2,34
477,Josh White,MIA,2,1,3.99,18,0,18,77,16,9,8,2,7,1,18
478,Najer Victor,LAA,0,0,4.15,27,0,27,123,25,14,13,3,13,2,27
479,Hogan Harris,ATH,2,2,4.24,43,0,43,191,39,22,20,5,24,2,44
480,Ryan Ramsey,KCR,0,1,5.13,1,1,6,28,6,4,4,1,3,1,5
481,Tyron Guerrero,BOS,0,0,4.15,35,0,35,159,32,18,16,4,16,2,34
482,Ryan Watson,BOS,1,1,4.56,30,0,30,133,32,17,15,4,11,2,25
483,Franco Aleman,CLE,2,3,4.47,28,0,28,123,27,15,14,4,12,2,30
484,Orlando Ribalta,WSN,1,1,4.55,36,0,36,162,36,20,18,4,18,2,33
485,Enmanuel De Jesus,DET,0,0,4.15,36,0,36,162,32,18,16,4,17,2,35
486,Ryan Brasier,TEX,0,0,4.25,12,0,12,48,11,6,6,1,3,0,9
487,Cooper Criswell,SEA,2,2,4.29,37,1,42,179,42,22,20,5,13,3,35
488,Ryan Thompson,ARI,3,2,3.81,39,0,39,166,39,18,16,4,12,2,30
489,Rob Zastryzny,MIL,1,1,4.08,27,0,27,114,25,13,12,3,9,1,24
490,Ian Hamilton,ATL,0,0,3.74,8,0,8,34,7,4,3,1,4,0,8
491,Javier Assad,CHC,1,1,4.23,15,1,20,86,19,10,9,3,8,1,15
492,Brent Suter,LAA,1,1,4.38,38,0,38,167,40,20,19,5,13,1,31
493,Taylor Rashi,ARI,1,1,3.99,22,0,22,98,22,11,10,2,10,1,22
494,Michel Otañez,TEX,1,1,4.32,17,0,17,76,13,9,8,2,10,2,21
495,Lake Bachar,MIA,2,2,4.11,35,0,35,150,31,17,16,5,15,2,38
496,Easton McGee,MIL,1,1,3.99,15,0,15,65,14,7,7,2,4,1,13
497,Dietrich Enns,BAL,0,0,4.18,7,0,7,31,8,4,3,1,3,0,7
498,Luke Little,CHC,1,1,4.18,26,0,26,112,20,13,12,3,15,3,29
499,Joe Rock,CHW,1,1,4.3,12,0,12,51,12,6,6,1,4,1,10
500,Tanner Andrews,TOR,1,1,4.53,18,0,18,80,18,10,9,2,8,0,16
501,Jack Anderson,BOS,1,1,4.47,18,0,18,80,20,10,9,3,5,0,15
502,Brad Keller,PHI,3,3,4.49,44,0,44,190,42,24,22,6,17,2,42
503,Michael Grove,TBR,1,0,4.68,11,0,11,47,11,6,6,1,4,1,10
504,Danny Young,ATL,0,0,4.14,9,0,9,40,8,4,4,1,4,2,10
505,Chase Solesky,TBR,1,1,5.08,19,1,23,100,25,14,13,4,8,1,15
506,James McArthur,KCR,1,1,4.3,8,0,8,35,8,4,4,1,3,1,7
507,Colin Selby,BAL,1,1,4.24,16,0,16,68,14,8,7,2,7,1,16
508,Justin Lawrence,PIT,2,3,4.39,36,0,36,159,33,19,18,4,19,5,39
509,Julian Aguiar,CIN,1,1,5.3,13,1,17,76,19,11,10,3,5,1,12
510,Tyler Samaniego,BOS,2,2,4.11,28,0,28,120,27,14,13,3,11,2,24
511,Carter Baumler,TEX,1,1,4.91,23,0,23,101,21,14,12,3,12,1,21
512,AJ Smith-Shawver,ATL,0,0,3.9,5,0,5,23,5,2,2,1,2,0,6
513,Sean Guenther,DET,0,0,4.02,6,0,6,28,7,3,3,1,2,0,5
514,Garrett Hawkins,SDP,2,2,4.16,18,0,18,80,17,9,9,3,8,0,20
515,Kyle Backhus,PHI,1,1,4.43,13,0,13,56,12,7,6,2,5,1,13
516,Josh Staumont,CIN,0,0,5.02,9,0,9,42,9,6,5,1,6,0,9
517,Trevor Richards,CHW,0,1,5.42,29,0,29,131,30,19,18,5,13,0,30
518,Kody Funderburk,MIN,2,2,4.23,35,0,35,155,34,18,16,3,17,3,33
519,Dylan Ross,NYM,0,0,4.09,18,0,18,75,15,9,8,2,8,0,19
520,Justin Hagenman,NYM,0,0,4.38,9,0,9,39,9,5,4,1,2,0,8
521,Joey Gerber,NYM,1,1,4.26,24,0,24,100,22,12,11,3,8,1,23
522,Austin Voth,TOR,0,0,4.15,8,0,8,35,7,4,4,1,4,0,8
523,Braydon Tucker,PHI,0,0,5.53,1,1,6,27,7,4,4,1,2,0,4
524,Jordan Leasure,CHW,2,4,4.97,37,0,37,159,33,22,20,7,17,1,41
525,Alex McFarlane,PHI,0,0,4.15,9,0,9,42,8,5,4,1,4,1,9
526,Will Dion,CLE,1,1,4.06,23,0,23,99,23,11,10,3,7,0,19
527,Drew Sommers,DET,1,1,4.35,18,0,18,79,18,10,9,2,7,2,16
528,Jordan Hicks,CHW,1,2,4.88,26,0,26,117,26,15,14,2,14,2,24
529,Daniel Duarte,NYM,0,0,4.15,30,0,30,136,27,16,14,3,14,2,29
530,Dylan Smith,SFG,1,1,4.49,15,0,15,66,16,8,8,2,6,1,13
531,Cristian Mena,ARI,0,0,3.83,7,0,7,28,6,3,3,1,2,0,6
532,Michael Kelly,ATH,1,1,4.51,20,0,20,87,19,11,10,2,9,1,17
533,Jake Woodford,MIL,2,2,4.04,35,0,35,148,33,17,16,4,11,2,26
534,Yosver Zulueta,SEA,0,0,4,6,0,6,28,5,3,3,1,3,1,7
535,Grant Holman,PHI,1,0,4,7,0,7,28,6,3,3,1,2,0,5
536,Derek Law,ARI,1,0,3.81,9,0,9,40,9,4,4,1,3,0,7
537,Anderson Severino,NYM,0,0,4.15,8,0,8,36,7,4,4,1,4,0,8
538,Joel Payamps,ATL,0,0,4.07,6,0,6,28,6,3,3,1,2,0,6
539,Brooks Kriske,ATH,1,1,4.72,14,0,14,63,13,8,8,2,7,1,16
540,Michael Fulmer,SFG,0,0,4.14,9,0,9,39,9,5,4,1,4,0,9
541,Manuel Rodríguez,TBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Jake Cousins,LAD,0,0,4.38,5,0,5,22,4,3,3,1,3,1,6
543,Riley Martin,CHC,1,1,4.38,10,0,10,46,9,5,5,1,6,0,11
544,Liam Hendriks,CHC,1,0,4.44,9,0,9,41,9,5,4,1,4,0,10
545,Reiver Sanmartin,SFG,1,1,4.13,8,0,8,34,8,4,4,1,2,0,6
546,Karson Milbrandt,MIA,1,1,4.98,11,2,17,79,17,10,10,2,9,1,15
547,David Davalillo,TEX,0,0,4.54,8,0,8,34,8,4,4,1,3,0,7
548,Johan Oviedo,BOS,1,1,4.46,11,0,11,46,10,6,5,1,4,1,10
549,Yaramil Hiraldo,BAL,0,0,4.68,6,0,6,28,6,4,3,1,2,0,7
550,Bobby Miller,LAD,0,0,5.04,8,0,8,34,8,5,4,1,3,0,7
551,Sam Aldegheri,LAA,2,3,5.48,23,3,36,162,38,24,22,6,17,3,27
552,Carlos Estévez,KCR,1,2,4.41,22,0,22,92,20,12,11,3,8,1,18
553,Chen Zhong-Ao Zhuang,ATH,0,0,4.61,7,0,7,28,7,4,3,1,2,0,5
554,Rafael Montero,NYY,0,0,4.53,4,0,4,17,4,2,2,0,2,0,4
555,Drey Jameson,ARI,1,1,3.95,15,0,15,63,14,7,6,2,6,1,13
556,Luis Perales,WSN,1,1,4.53,14,0,14,61,12,7,7,2,7,1,14
557,Ryan Lambert,NYM,1,1,4.53,26,0,26,115,22,14,13,3,14,2,29
558,Prelander Berroa,CHW,0,0,4.5,5,0,5,24,5,3,3,1,3,0,6
559,Cameron Foster,BAL,1,1,4.52,22,0,22,98,23,12,11,3,9,0,19
560,JT Brubaker,SFG,1,1,4.41,35,0,35,156,36,19,17,3,15,2,29
561,Geoff Hartlieb,ATH,0,0,4.86,5,0,5,23,5,3,3,1,2,0,5
562,Victor Vodnik,COL,1,2,4.49,27,0,27,123,27,15,14,3,15,1,25
563,Tristan Beck,SFG,1,1,4.2,17,0,17,73,17,9,8,2,5,1,14
564,Carlos Vargas,SEA,0,0,4.27,5,0,5,23,5,3,2,1,2,0,4
565,José Leclerc,SDP,1,1,4.24,15,0,15,63,13,7,7,2,7,1,16
566,Bruce Zimmermann,STL,0,0,4.55,7,0,7,29,7,4,3,1,2,0,4
567,Hagen Danner,CIN,1,1,4.89,11,0,11,46,11,6,6,2,3,0,9
568,Hunter Stratton,ATL,1,1,4.35,30,0,30,128,29,16,14,4,11,2,28
569,Nolan Hoffman,PHI,1,1,5,17,0,17,75,17,10,9,2,7,2,16
570,Riley Cornelio,WSN,2,4,5.24,18,7,45,204,50,28,26,7,21,1,34
571,Chris Murphy,CHW,1,1,4.73,24,0,24,105,23,13,12,3,12,1,21
572,Max Lazar,PHI,1,1,4.64,12,0,12,50,12,6,6,2,4,0,9
573,Andry Lara,WSN,0,0,4.93,4,0,4,18,4,2,2,0,2,0,3
574,Carlos Lagrange,NYY,1,1,4.75,7,0,7,29,6,4,3,1,3,1,7
575,Connor Brogdon,CLE,0,0,4.64,5,0,5,22,5,3,3,1,2,0,5
576,Garrett Acton,MIN,1,2,4.52,18,0,18,80,17,10,9,3,8,1,19
577,Kervin Castro,NYY,1,2,4.61,22,0,22,97,21,12,11,3,11,1,20
578,Adbert Alzolay,NYM,1,1,4.29,16,0,16,66,15,8,7,2,5,1,14
579,Pedro Avila,CLE,1,1,4.16,12,0,12,51,11,6,5,1,5,1,9
580,Michael Darrell-Hicks,PIT,0,1,4.48,8,0,8,34,8,4,4,1,3,1,6
581,Brendon Little,TOR,2,2,4.22,25,0,25,109,22,13,12,3,14,1,28
582,Alex Hoppe,SEA,1,1,4.29,34,0,34,148,32,17,16,4,16,1,33
583,JP Sears,SDP,1,1,4.74,12,1,16,68,15,9,8,3,5,1,14
584,Philip Abner,ARI,1,1,4.09,27,0,27,117,26,13,12,3,11,2,26
585,Austin Warren,NYM,3,3,4.38,35,0,35,152,33,19,17,4,14,2,34
586,Jonathan Hernández,LAD,1,1,4.5,29,0,29,130,28,16,15,3,15,1,27
587,Jhony Brito,SDP,1,1,4.31,17,0,17,74,17,9,8,2,6,0,13
588,Zach Brzykcy,MIA,0,0,4.63,10,0,10,46,10,6,5,1,5,1,10
589,Landon Knack,LAD,0,0,5.24,4,0,4,17,4,2,2,1,2,0,3
590,Stephen Jones,MIA,0,0,4.7,5,0,5,23,5,3,3,1,2,1,4
591,Tyson Neighbors,BAL,0,1,4.59,10,0,10,42,9,5,5,1,4,1,10
592,Grant Anderson,MIL,2,2,4.29,40,0,40,170,36,21,19,6,16,2,40
593,Eduardo Rivera,BOS,1,1,4.65,21,0,21,94,20,12,11,3,11,1,20
594,Jared Shuster,STL,1,1,4.62,12,0,12,53,13,7,6,1,4,0,8
595,Tate Kuehner,MIL,1,1,4.44,9,0,9,39,8,5,4,1,4,1,8
596,Eric Reyzelman,NYY,0,0,4.6,9,0,9,40,8,5,5,1,5,0,9
597,Max Kranick,WSN,0,0,4.69,10,0,10,41,10,6,5,1,3,0,7
598,Carlos Rodriguez,MIL,1,1,4.67,20,0,20,87,19,11,10,3,8,1,18
599,Shane Murphy,CHW,0,1,4.86,7,0,7,28,7,4,4,1,1,0,4
600,Nate Pearson,HOU,2,2,4.55,40,0,40,175,38,22,20,6,19,2,40
601,Ryan Yarbrough,NYY,1,1,4.49,34,0,34,144,33,18,17,5,11,3,27
602,Ronan Kopp,LAD,0,0,4.77,7,0,7,33,6,4,4,1,5,0,8
603,Jack Neely,CHC,0,0,4.5,5,0,5,23,4,3,3,1,3,0,6
604,TJ Shook,COL,0,1,5.02,8,0,8,35,8,5,4,1,3,1,6
605,Andrew Walters,CLE,1,1,4.16,19,0,19,83,16,10,9,3,10,1,23
606,Brendan Beck,NYY,1,1,4.6,12,0,12,50,12,7,6,2,3,0,9
607,Keegan Thompson,COL,2,3,5,34,0,34,149,34,20,19,5,15,3,30
608,Matt Festa,CLE,2,2,4.55,33,0,33,142,31,18,17,5,12,3,34
609,Paul Gervase,LAD,2,2,4.66,27,0,27,120,24,15,14,4,14,2,30
610,Brady Basso,ATH,1,1,4.45,27,0,27,119,28,15,14,4,9,1,22
611,Ryan Weiss,HOU,1,1,4.62,15,0,15,67,15,9,8,2,7,1,16
612,Grant Hartwig,MIN,1,1,4.61,9,0,9,40,9,5,5,1,4,1,8
613,Joe La Sorsa,PIT,0,1,4.24,12,0,12,50,12,6,5,1,4,1,8
614,Jackson Rutledge,PHI,0,1,4.96,10,0,10,46,11,6,6,1,4,1,9
615,Chayce McDermott,LAD,1,1,4.76,12,0,12,52,11,7,6,2,6,1,12
616,Ty Adcock,SDP,1,1,4.29,16,0,16,68,15,8,8,2,6,0,14
617,James Karinchak,ATL,2,1,4.19,26,0,26,112,21,13,12,4,15,1,32
618,Chase Lee,TOR,1,1,4.4,21,0,21,89,20,11,10,3,7,1,20
619,Jeff Criswell,COL,1,1,4.66,17,0,17,75,17,9,9,3,7,0,15
620,Joey Estes,ATH,1,2,5.01,17,1,21,91,22,13,12,4,6,2,14
621,Christian Roa,CHC,0,1,4.55,6,0,6,29,6,4,3,1,4,1,6
622,Seth Halvorsen,COL,1,2,4.82,36,0,36,163,36,21,19,4,20,1,34
623,Tyler Davis,CHW,3,4,4.78,41,0,41,182,39,23,22,5,22,1,38
624,Austin Love,STL,1,1,4.52,15,0,15,65,14,8,7,2,6,1,12
625,Zack Kelly,BOS,1,2,4.43,26,0,26,116,24,14,13,3,13,2,25
626,Kade Strowd,ARI,1,1,3.95,20,0,20,87,18,9,9,2,9,1,18
627,Jake Bloss,TOR,0,0,4.74,6,0,6,29,7,4,3,1,3,0,5
628,Alexis Díaz,TEX,1,1,5.07,10,0,10,45,8,6,6,1,6,2,10
629,Ryan Borucki,SFG,2,2,4.19,34,0,34,147,32,17,16,3,14,3,31
630,Ben Casparius,LAD,1,1,4.96,16,0,16,69,15,9,9,2,7,1,15
631,Jason Alexander,HOU,1,2,4.88,19,2,28,124,30,16,15,5,10,2,21
632,Paul Blackburn,NYY,2,2,4.84,35,0,35,152,36,20,19,4,13,1,27
633,Bailey Horn,DET,1,1,4.61,11,0,11,49,11,6,6,1,6,0,10
634,Brian Fitzpatrick,MIL,1,1,4.71,17,0,17,77,17,10,9,3,8,1,16
635,Ken Waldichuk,WSN,0,0,5.38,5,0,5,23,5,3,3,1,3,0,5
636,Doug Nikhazy,CHC,0,1,5.17,8,0,8,39,9,5,5,1,5,0,7
637,Drew Smith,MIN,1,1,4.5,10,0,10,45,10,5,5,2,5,1,11
638,C.J. Culpepper,MIN,0,0,4.83,12,0,12,53,12,7,6,1,5,1,9
639,Brandon Williamson,CIN,1,2,5.45,18,1,22,99,23,14,13,3,11,2,17
640,Miguel Ullola,HOU,0,1,4.6,8,0,8,34,7,4,4,1,4,1,8
641,Duncan Davitt,CHW,1,1,4.85,16,0,16,68,17,9,8,2,5,1,12
642,Matt Svanson,STL,1,1,4.18,29,0,29,126,27,15,14,4,11,2,27
643,Steven Wilson,TBR,0,0,4.73,9,0,9,40,8,5,5,2,4,1,9
644,Daniel Espino,CLE,1,2,4.3,24,0,24,108,22,13,12,4,13,0,27
645,Tyler Ferguson,CHC,1,1,4.88,13,0,13,57,12,8,7,2,6,1,13
646,Jack Ralston,MIA,1,1,4.59,13,0,13,59,12,7,7,2,8,1,14
647,Josh Walker,BAL,1,1,4.66,19,0,19,86,20,11,10,3,9,1,19
648,Chris Devenski,PIT,1,1,4.45,22,0,22,95,23,12,11,3,6,0,18
649,Tommy Kahnle,BOS,1,1,4.47,15,0,15,63,14,8,7,2,7,1,12
650,Charlie Barnes,LAD,0,1,5.67,10,0,10,47,12,7,7,2,3,1,9
651,Logan Gillaspie,SDP,0,1,4.74,12,0,12,52,13,7,6,2,4,0,9
652,Troy Taylor,SEA,1,1,4.7,10,0,10,46,10,6,5,1,5,1,10
653,Kyle Nicolas,CIN,1,1,5.24,16,0,16,72,15,10,9,2,10,1,16
654,Tayler Saucedo,LAA,1,1,4.77,29,0,29,126,28,16,15,3,13,3,27
655,Kenley Jansen,DET,2,3,4.59,32,0,32,139,29,18,17,6,13,1,34
656,Jake Eder,LAD,1,1,4.92,9,0,9,40,9,5,5,1,4,1,7
657,Scott Blewett,STL,1,1,4.32,21,0,21,92,22,11,10,3,8,1,15
658,Zak Kent,WSN,1,1,4.86,25,0,25,109,25,14,13,3,11,1,23
659,Beau Brieske,DET,1,1,4.81,16,0,16,67,15,9,8,2,7,0,13
660,Spencer Bivens,SFG,1,1,4.29,13,0,13,57,14,7,6,2,4,1,10
661,Cody Bolton,HOU,0,0,4.73,8,0,8,37,8,5,4,1,4,1,8
662,Yoniel Curet,DET,0,0,5.76,5,0,5,24,5,4,3,1,3,1,5
663,Tyler Gilbert,CHW,1,1,5.34,17,0,17,75,18,11,10,3,7,1,15
664,Misael Tamarez,SDP,0,0,5.04,7,0,7,32,7,4,4,1,3,0,6
665,Nick Raquet,BAL,2,3,4.91,26,0,26,114,28,15,14,4,9,2,22
666,Daysbel Hernández,ATL,1,2,4.47,22,0,22,98,19,12,11,2,13,1,23
667,Colton Gordon,HOU,1,1,4.74,14,0,14,61,15,8,7,3,4,1,12
668,Alek Jacob,SDP,1,1,4.78,21,0,21,91,19,12,11,3,9,2,20
669,Luis Curvelo,TEX,1,1,5.22,18,0,18,79,18,12,11,3,7,1,16
670,Gordon Graceffo,STL,2,2,4.44,36,0,36,156,37,19,18,4,12,1,27
671,Yilber Díaz,ARI,1,1,4.19,13,0,13,59,12,7,6,2,7,1,13
672,Ben Peoples,CHW,1,1,4.92,13,0,13,59,13,8,7,2,7,1,11
673,Ethan Roberts,CHC,2,1,4.22,31,0,31,135,29,16,15,4,14,3,30
674,Andre Granillo,WSN,1,1,4.98,18,0,18,81,18,11,10,3,9,1,17
675,Alex Carrillo,NYM,1,1,4.7,13,0,13,57,12,7,7,2,6,1,14
676,Matt Pushard,STL,2,2,4.12,35,0,35,149,33,17,16,4,13,2,31
677,Taylor Clarke,ARI,2,2,4.11,42,0,42,178,43,21,19,5,11,2,30
678,Mike Clevinger,PIT,1,1,4.56,14,0,14,62,14,8,7,2,6,1,11
679,Kyle Hart,SDP,1,2,4.36,28,0,28,119,28,15,13,4,9,2,24
680,David Morgan,SDP,1,2,4.3,32,0,32,137,28,16,15,4,14,3,33
681,Cameron Weston,BAL,2,2,4.85,31,1,36,156,35,21,19,5,14,3,30
682,Cole Wilcox,SEA,1,1,4.55,14,0,14,63,14,8,7,2,6,1,12
683,Chase Shugart,PHI,2,2,4.62,31,0,31,136,32,18,16,5,12,2,27
684,Evan Fitterer,SDP,1,1,4.91,9,0,9,42,9,5,5,1,4,1,7
685,Drew Pomeranz,LAA,2,3,4.82,35,0,35,151,34,20,19,6,13,4,34
686,Eduarniel Núñez,BAL,1,1,4.83,14,0,14,65,13,8,8,2,9,1,15
687,Wandy Peralta,SDP,1,1,4.13,36,0,36,157,33,18,17,3,17,3,30
688,Angel Chivilli,NYY,1,1,5.09,20,0,20,85,19,12,11,3,8,1,19
689,Zach Pop,PHI,1,2,4.93,29,0,29,126,30,17,16,4,10,2,23
690,Cole Winn,TEX,2,2,4.69,31,0,31,137,29,18,16,4,15,2,28
691,Valente Bellozo,COL,0,1,5.63,10,0,10,46,12,7,6,2,4,0,7
692,Marco Raya,MIN,1,1,4.94,16,0,16,70,16,9,9,2,8,1,13
693,Max Rajcic,STL,1,1,5,12,1,16,69,17,9,9,2,6,1,10
694,Anthony Molina,ATL,1,1,4.95,16,0,16,68,18,9,9,2,5,0,10
695,Phil Maton,CHC,2,2,4.1,40,0,40,169,33,20,18,5,17,5,42
696,Robinson Ortiz,SEA,2,2,4.38,29,0,29,128,25,15,14,3,16,3,28
697,Chris Roycroft,STL,1,2,4.62,27,0,27,120,27,15,14,3,13,1,21
698,Burch Smith,DET,1,1,4.86,21,0,21,93,22,12,11,3,9,0,20
699,Connor Seabold,TOR,1,2,5.37,34,0,34,150,38,22,20,5,12,3,28
700,Juan Burgos,ARI,1,1,4.67,11,0,11,51,11,6,6,2,5,1,9
701,Andrew Hoffmann,ARI,2,2,4.37,28,0,28,122,28,15,13,4,11,1,25
702,Cam Sanders,PIT,1,1,4.82,19,0,19,88,18,11,10,2,12,2,20
703,PJ Poulin,WSN,2,2,4.66,30,0,30,132,29,17,15,4,14,2,29
704,Domingo Gonzalez,SEA,1,1,4.32,21,0,21,93,20,11,10,2,10,2,19
705,Rolddy Muñoz,ATL,0,1,4.81,12,0,12,53,12,7,6,2,6,1,10
706,Adam Macko,TOR,2,2,4.62,31,0,31,136,30,17,16,4,13,3,28
707,Alimber Santa,HOU,1,1,4.25,32,0,32,142,30,16,15,4,17,2,31
708,Trent Thornton,CHC,2,2,4.48,32,0,32,137,32,18,16,5,9,1,25
709,Josh Ekness,MIA,1,2,4.54,30,0,30,131,27,16,15,3,15,5,29
710,Jayden Murray,HOU,1,1,4.61,24,0,24,104,23,13,12,3,10,2,19
711,Taijuan Walker,LAA,2,3,5.55,17,4,35,158,39,24,22,7,13,2,25
712,Victor Mederos,ATL,1,1,5.12,13,0,13,57,14,8,7,2,5,1,9
713,Carson Palmquist,WSN,1,1,5.26,13,0,13,59,13,8,8,2,7,1,12
714,Craig Kimbrel,TBR,2,3,4.57,36,0,36,159,33,20,18,5,19,3,41
715,Mason Black,KCR,1,2,4.95,34,0,34,150,34,20,19,5,15,2,28
716,Beck Way,KCR,0,1,5.53,10,0,10,49,11,7,6,1,6,2,7
717,Kyle Finnegan,DET,2,3,4.45,41,0,41,180,40,22,20,5,19,0,34
718,Gavin Hollowell,CHC,1,1,5.09,19,0,19,86,17,12,11,3,11,2,20
719,Tyler Schweitzer,CHW,1,2,5.02,22,0,22,96,24,13,12,3,8,0,15
720,Samy Natera Jr.,LAA,1,1,5.33,14,0,14,65,13,9,8,2,9,1,15
721,Logan VanWey,HOU,1,1,4.58,26,0,26,114,24,14,13,3,14,2,26
722,Eli Morgan,KCR,1,1,4.87,27,0,27,120,28,16,15,4,10,1,23
723,Eric Lauer,LAD,2,3,5.56,27,2,36,161,40,24,22,8,13,1,31
724,Luis Mey,CIN,1,2,5.5,20,0,20,91,19,13,12,3,13,2,21
725,Gavin Collyer,TEX,2,3,5.03,33,0,33,147,30,20,18,4,20,5,33
726,Bradley Blalock,MIA,1,1,5.22,16,0,16,69,17,10,9,2,6,0,10
727,Carlos Carrasco,ATL,1,1,5.45,19,0,19,87,24,13,12,3,6,1,15
728,Zach Maxwell,CIN,1,2,5.24,28,0,28,125,26,18,16,5,16,0,30
729,Seth Johnson,PHI,1,2,5.02,24,0,24,106,24,14,13,4,12,1,21
730,Connor Phillips,CIN,1,2,5.29,30,0,30,135,27,19,17,4,19,3,32
731,Yohan Ramírez,PIT,2,3,4.37,40,0,40,171,35,21,19,4,18,8,43
732,Jose Franco,CIN,1,2,5.67,24,0,24,107,24,16,15,4,12,1,21
733,Yariel Rodríguez,TOR,1,2,4.63,32,0,32,141,29,18,17,5,16,2,32
734,Brandyn Garcia,ARI,2,2,4.47,34,0,34,150,33,19,17,3,15,6,30
735,Alec Gamboa,BOS,1,2,5.01,22,0,22,103,25,14,12,3,12,1,15
736,Brandan Bidois,PIT,2,3,4.75,32,0,32,144,31,19,17,5,17,1,32
737,Eric Cerantola,KCR,1,1,4.91,26,0,26,117,24,16,14,4,15,2,27
738,Josh Simpson,SEA,2,2,4.85,27,0,27,120,25,16,15,4,14,2,30
739,Wikelman González,CHW,1,2,5.4,20,0,20,93,20,13,12,3,12,2,19
